Designator,Mid X,Mid Y,Layer,Rotation
C1,19.43,46.74,Top,180
C2,25.02,46.74,Top,0
C3,28.32,66.8,Top,180
C4,28.32,60.2,Top,180
C5,11.05,69.47,Top,90
C6,19.43,50.16,Top,180
C7,25.15,50.04,Top,0
C8,7.87,39.37,Top,270
C9,19.43,40.51,Top,180
C10,25.02,40.51,Top,0
C11,44.45,71.12,Top,180
IC1,22.23,37.47,Top,0
IC2,22.23,53.59,Top,180
IC3,22.23,43.69,Top,0
IC4,42.93,65.66,Top,270
IC5,10.41,46.86,Top,90
IC6,28.32,63.25,Top,270
LED1,17.78,1.91,Top,90
LED2,36.2,1.91,Top,90
LED3,38.1,1.91,Top,90
R1,40.16,10.44,Top,270
R2,36.58,65.02,Top,180
R3,13.82,10.44,Top,270
R13,15.57,37.72,Top,0
R15,42.42,10.44,Top,270
R16,12.95,64.64,Top,90
R18,15.49,64.64,Top,90
R19,18.16,64.64,Top,90
R20,20.7,64.64,Top,90
R21,9.14,32.38,Top,0
R22,9.14,29.46,Top,0
R23,9.14,26.54,Top,0
R24,9.14,23.62,Top,0
